,init_b1,init_h1,init_h2,init_prevac,init_postvac,param_b1,param_h1,param_h2,param_prevac,param_postvac,RSE,MSE,MAE,SSE,MAPE
17,0.6270337367033726,0.3399019465095343,0.20172533057021924,0.3288963240769094,0.019425448212251804,4.941489892970196e-21,3.1192921890053302,0.08854980264746053,0.0001368489865611464,-1.1754943508222875e-38,9.100587592544509,1905486.8443912643,1353.7967951424876,205792579.19425654,135379.67951424877
18,0.7101811665680491,0.015541301205847862,0.11681607000936324,0.3595098661043691,0.3061040471570118,-6.331923666235035e-21,0.04204735294287168,0.20587821244079077,-2.7105054312125282e-20,0.1252040253938521,9.100587592340238,1905486.8443484942,1353.7967951313683,205792579.18963736,135379.67951313683
19,0.3463396094273786,0.46476519211944534,0.6399321453351852,0.8785203711970978,0.07790113474251593,-3.142053239940405e-20,2.8407684044525996,0.23481257806624212,0.003943748313419373,0.3094786305314813,9.1005875914028,1905486.8441522126,1353.7967950665004,205792579.16843897,135379.67950665005
20,0.945594954812513,0.4569769663369014,0.493866723235096,0.26714567394460703,0.14090366989915581,-2.1175823788889055e-26,1.7182531255065354,0.03640058266802738,-2.1175823789371926e-26,2.1606665925764488,9.10058757028346,1905486.839730232,1353.7967936899004,205792578.69086507,135379.67936899004
21,0.21038130041801925,0.869405651345641,0.04790940280845021,0.06436976816744093,0.6322933977051602,3.752038857756202e-20,0.5577149063137953,2.2465927728874977,0.041227252806422435,1.874583413408205,9.100587507901404,1905486.8266686369,1353.796789253326,205792577.2802128,135379.6789253326
22,0.6693597576867562,0.6081519731557011,0.1954327987830931,0.8633130924144983,0.8209667207301119,-8.817371297522262e-20,2.758272762153712,0.27387289980376733,0.5177870395053978,-3.833168691501406e-33,9.100587593352554,1905486.8445604534,1353.79679518578,205792579.21252897,135379.679518578
23,0.5313302703645845,0.8820624458458174,0.7294726785662345,0.08023363506707813,0.6438537205084884,1.4287768140390387e-20,0.45168167355423944,0.7886550916613385,1.4466030615385534,0.48446638930331903,9.100587587464984,1905486.8433277104,1353.796794814277,205792579.07939273,135379.6794814277
24,0.6991388418479855,0.4974507122461024,0.533792459154337,0.056143598831163606,0.8555339652450945,-5.043801373125609e-21,2.1125857741120746,0.4680467882547553,2.904660696156021,0.2212900509515711,9.100587593153072,1905486.8445186857,1353.7967951806436,205792579.20801806,135379.67951806437
25,0.6719541493440125,0.9517596902258522,0.8645321301981969,0.3020754889594556,0.4059399507090694,-2.407412430484045e-35,2.6285568454428616,2.1319878214440986,1.766976469329393,0.2849078511630672,9.100587590251777,1905486.843911211,1353.7967949884812,205792579.14241078,135379.67949884813
26,0.1302551816268159,0.6139484083457396,0.7103230201731319,0.049560123079436025,0.6511730734715729,-5.530502050174022e-21,2.599765287156033,0.056319695523191986,0.00017666035211614855,1.236055528763824e-18,9.100587592515664,1905486.8443852249,1353.7967951564538,205792579.1936043,135379.67951564537
27,0.6044062281245512,0.36286360969041204,0.2680740502462098,0.95451308624009,0.5571072207587808,1.2722980429493252e-20,0.5307148064791424,2.4523720980497368,0.0002512011194855452,0.06979719004195516,9.100587589884535,1905486.8438343173,1353.7967949789954,205792579.13410628,135379.67949789955
28,0.928945195231333,0.7199681322938188,0.430931599801354,0.6032909568496417,0.8679497826833349,-1.262236251289633e-20,2.2111898103014855,0.38126891804638197,-1.2622220525096359e-20,1.6399269459077621,9.100587569666006,1905486.839600949,1353.7967937066976,205792578.6769025,135379.67937066976
29,0.14742181322437256,0.35534405688478254,0.8418171274673053,0.9288237439712153,0.8403221516983627,-8.010521012022905e-18,0.49855168476526374,0.959715523485924,3.024068737676252,3.0814879110195774e-33,9.100587590359241,1905486.843933712,1353.79679501358,205792579.1448409,135379.679501358
30,0.7905608923357292,0.28755339904307364,0.6235921814049807,0.9863990246723391,0.06302676655494416,1.7985410702645207e-24,-4.2461500095406006e-24,0.016201562500000002,-4.246150009525099e-24,-4.246150009525099e-24,9.100587592854225,1905486.844456113,1353.7967951641285,205792579.2012602,135379.67951641284
31,0.7091308389985226,0.9053003411979357,0.784115091963099,0.03373524264075317,0.8730720452582844,1.2006057528517552e-19,2.3930772807510245,0.9249306965829027,1.7053642111899756,0.7257575809511002,9.100587590980455,1905486.8440637817,1353.7967950384036,205792579.15888843,135379.67950384037
32,0.9510861862699899,0.19758749790092572,0.3184680568266682,0.8160939306278702,0.12431171852310882,-2.107859645856772e-21,1.4186717490796517,0.6921747362805553,0.8157016463438359,1.0374261232494308,9.100587586633718,1905486.8431536595,1353.7967947619604,205792579.0605952,135379.67947619603
33,0.5603947123907944,0.6828949441438358,0.0826155744933037,0.22027282946189378,0.6873225683724141,-6.775947818047267e-20,-6.77594781804721e-20,-6.741253348527674e-20,1.1958654565936062,0.9200614142645689,9.100587590000258,1905486.8438585475,1353.7967949733993,205792579.13672313,135379.67949733994
34,0.2874053837447412,0.5057745916243109,0.9170457999258026,0.8234889661477154,0.09048286079180463,-9.766164919413728e-21,0.025669612775240137,0.11898249850156326,0.046380745824805295,2.147332332206512,9.10058751290154,1905486.8277155692,1353.796789566126,205792577.39328146,135379.67895661262
35,0.9384648850746398,0.5348205231777987,0.4232242190120176,0.2750682233341887,0.8108625615910598,-1.2700563319849365e-16,1.7108339823401197,0.017865202072082857,7.708027776665294e-20,0.0314285230350729,9.100587588445682,1905486.8435330496,1353.7967948932464,205792579.10156935,135379.67948932466
36,0.8826310201379854,0.1511782320438943,0.40888235011880897,0.1780423649650329,0.08934295774396388,-5.148291411049988e-20,0.03395275628032799,0.004263054310087799,0.0,0.2192033201039963,9.100587592987496,1905486.8444840175,1353.7967951712833,205792579.20427388,135379.67951712833
37,0.6817068050153532,0.7203718133819419,0.03986008978971566,0.5121074635612842,0.11272168801472025,-2.0618835693467763e-20,0.07084704274495236,0.06048485298415339,2.1079778530802535,0.044735435900781724,9.1005875959277,1905486.845099639,1353.7967953702155,205792579.270761,135379.67953702156
